,Brewery,County,Full Address,Lat,Lng,State,Zip Code
3004,Great Lakes Brewing Company Beer Symposium,Cuyahoga,"1951 W 26th St, Cleveland OH",41.484422,-81.704873,OH,44113-3440
3005,Great Lakes Pub Cruiser,Kent,"407 Turner N W, Grand Rapids MI",42.971043,-85.67896,MI,49504-5244
3006,Great Notion Brewing,Multnomah,"2204 N E Alberta St, Portland OR",45.559068,-122.642492,OR,97211-5852
3007,Great Raft Brewing,Caddo,"1251 Dalzell St, Shreveport LA",32.489084,-93.756253,LA,71103-3705
3008,Great River Brewery,Scott,"332 E 2nd St, Davenport IA",41.521304,-90.569973,IA,52801-1702
3009,Great South Bay Brewery,Suffolk,"2309 Union Blvd, Brightwaters NY",40.730707,-73.228735,NY,11706-8014
3010,Great Storm Brewery,El Paso,"204 Mount View Ln, Colorado Springs CO",38.889543,-104.818352,CO,80907-4367
3011,Great Tans At Neshaminy Inn,Bucks,"2345 Old Lincoln Hwy, Feasterville-trevose PA",40.121453,-74.976978,PA,19053-6806
3012,Greater Erie,Erie,"1012 E 28th St, Erie PA",42.118772,-80.049255,PA,16504-1347
3013,Green Bench Brewing Co.,Pinellas,"1133 Baum Ave N, Saint Petersburg FL",27.77146,-82.650648,FL,33705-1555
3014,Green Flash Brewery,Virginia Beach City,"1902 General Booth Blvd, Virginia Beach VA",36.774972,-76.006495,VA,23454-5729
3015,Green Flash Brewing Co.,San Diego,"6550 Mira Mesa Blvd, San Diego CA",32.906547,-117.177635,CA,92121-4100
3016,Green Man Brewing Co,Buncombe,"23 Buxton Ave, Asheville NC",35.588527,-82.553171,NC,28801-4019
3017,Green Mountain Beverage,Addison,"153 Pond Ln, Middlebury VT",44.034643,-73.173491,VT,05753-1190
3018,Green Room Brewing,Duval,"228 3rd St N, Jacksonville FL",30.290733,-81.392364,FL,32250-6935
3019,Green Star Cafe,St Joseph,"1605 Miami St, S Bend IN",41.657866,-86.234971,IN,46613-2839
3020,Green Thumb Lawn Service & Hydroseeding.,Penobscot,"64 Stevens Rd, Brewer ME",44.784142,-68.761826,ME,04412-2252
3021,Green Tree Brewery,Scott,"309 N Cody Rd, Le Claire IA",41.599938,-90.343594,IA,52753-9220
3022,Green Wolf Brewing Company,Schoharie,"315 Main St, Middleburgh NY",42.598363,-74.334803,NY,12122-6522
3023,Greenbush Brewing Co,Berrien,"5870 Sawyer Rd, Sawyer MI",41.8855,-86.594272,MI,49125-9387
3024,Greenbush Brewing Company,Berrien,"5885 Sawyer Rd, Sawyer MI",41.885502,-86.594526,MI,49125-9380
3025,Greenhouse Supply Inc,Penobscot,"12 Acme Road 212, Brewer ME",44.786422,-68.756309,ME,04412-1516
3026,Green-lantern Bar,Antrim County,"3958 S Us 131, Alba MI",44.974966,-84.970167,MI,
3027,Greenpoint Beer and Ale Company,Kings,"7 N 15th St, Brooklyn NY",40.724941,-73.957276,NY,11222-2838
3028,"Greenpoint Beer Works, Green Point Beerworks",Kings,"529 Waverly Ave, Brooklyn NY",40.68274,-73.965768,NY,11238-2701
3029,Greenport Harbor Brewing,Suffolk,"42155 Route 25, Peconic NY",41.041501,-72.453927,NY,11958-1502
3030,Greenport Harbor Brewing Co,Suffolk,"234 Carpenter St, Greenport NY",41.103316,-72.358676,NY,11944-1406
3031,Green's Beverages,Fulton,"737 Ponce De Leon Ave N E, Atlanta GA",33.773815,-84.362782,GA,30306-4329
3032,Greensburg Auto Spa Tinting Service,Westmoreland,"953 W Pittsburgh St, Greensburg PA",40.302957,-79.561561,PA,15601-1228
3033,Greenville Brew Tours,,"Downtown Greenville, Greenville SC",13.67665,100.37807,SC,10160
3034,Greenville Hop House,Greenville,"1619 E North St, Greenville SC",34.860075,-82.375853,SC,29607-1361
3035,Greenwich Tavern,Fairfield,"1392 E Putnam Ave, Old Greenwich CT",41.044726,-73.572213,CT,06870-1308
3036,Greenwood Ridge Vineyards,Mendocino,"24555 Philo Greenwood Rd, Philo CA",39.10137,-123.5752,CA,95466-9421
3037,Gresso's Restaurant & Bar,Franklin,"961 S High St, Columbus OH",39.942474,-82.996841,OH,43206-2525
3038,Gretz Beer Company,Montgomery,"710 E Main St, Norristown PA",40.109412,-75.33042,PA,19401-4102
3039,Grey Stone Tavern,Jackson,"1008 Lansing Ave, Jackson MI",42.261088,-84.417411,MI,49202-2114
3040,Griess Family Brews & Taproom,Josephine,"220 S W H Saint B, Grantspass OR",42.438809,-123.329414,OR,97526-2508
3041,Griffin Claw Brewing Company,Oakland,"575 S Eton St, Birmingham MI",42.543322,-83.195739,MI,48009-6824
3042,Griff's Redemption & Beverage Center,Jefferson,"25640 State Route 37, Watertown NY",44.036091,-75.901109,NY,13601-5157
3043,"Grigus, Shawn: Shawn Grigus",Atlantic,"334 N Washington St, Hammonton NJ",39.637728,-74.810745,NJ,08037
3044,Grillin & Chillin Alehouse,San Benito,"401 Mccray St, Hollister CA",36.851536,-121.398379,CA,95023-2225
3045,Grimm Brothers Brewhouse,Larimer,"547 Denver Ave, Loveland CO",40.397385,-105.044657,CO,80537-5127
3046,Grimm Brothers Taproom,Larimer,"623 Denver Ave, Loveland CO",40.39674,-105.044667,CO,80537-5128
3047,Grindal Sheet Metal,Penobscot,"135 Airport Rd, Brewer ME",44.766055,-68.771047,ME,04412-1770
3048,Grindstone Financial Group,Penobscot,"36 Birchwood Blvd, Brewer ME",44.776566,-68.764644,ME,04412-1604
3049,Grist Brewing Co,Douglas,"9150 Commerce Center Cir, Highlands Ranch CO",39.548668,-105.033867,CO,80129-1557
3050,Grist House Brewing,Allegheny,"10 Sheridan St, Pittsburgh PA",40.477687,-79.971624,PA,15209-2726
3051,Grist Iron Brewing Company,Schuyler,"4874 Route 414, Burdett NY",42.469649,-76.867204,NY,14818-9729
3052,Grits Fullerton,Orange,"133 W Chapman Ave, Fullerton CA",33.873911,-117.925736,CA,92832-1403
3053,Gritty Mcduff's,Androscoggin,"68 Main St, Auburn ME",44.097229,-70.224771,ME,04210-5812
3054,Gritty Mcduffs Brewing Company,Cumberland,"396 Fore St, Portland ME",43.656342,-70.253504,ME,04101-4026
3055,Grixsen Brewing Company,Multnomah,"1001 S E Division St, Portland OR",45.504353,-122.560203,OR,97266
3056,Groundswell Brewing Co,San Diego,"6304 Riverdale St, San Diego CA",32.789055,-117.09962,CA,92120-3310
3057,Group Dr Pepper Snapple,Forrest,"117 Shadow Ridge Rd, Hattiesburg MS",31.327132,-89.397181,MS,39402-8653
3058,Grove Tavern The,Lane,"521 E Main St, Cottage Grove OR",43.797292,-123.06237,OR,97424-2037
3059,Growler Craft Brewery,Calaveras,"164 Highway 4, Murphys CA",38.133598,-120.455356,CA,95247
3060,Growler Grlz,Durham,"4810 Hope Valley Rd, Durham NC",35.921393,-78.958294,NC,27707-5620
3061,Growler Haus,Anderson,"313 N Main St, Anderson SC",34.505352,-82.650655,SC,29621-5612
3062,Growler Room,Travis,"6800 Burnet Rd, Austin TX",30.344107,-97.738213,TX,78757-2846
3063,Growler Station,Greenville,"109 Augusta St, Greenville SC",34.843143,-82.405519,SC,29601-3503
3064,Growler's Craft Beer and Ales,Beaufort,"33 57 Shelter Cove Ln, Hilton Head Island SC",32.183898,-80.723468,SC,29928-3552
3065,Growlers of Gaithersburg,Montgomery,"227 E Diamond Ave, Gaithersburg MD",39.142173,-77.193574,MD,20877-3015
3066,Growlers To Go,Saint Louis,"600 E Superior St, Duluth MN",46.792359,-92.091158,MN,55802-2200
3067,Grue Brue Laboratories East,Montgomery,"100 Pine Rd, Huntingdon Valley PA",40.098528,-75.065297,PA,19006-7938
3068,Gruff Brewing,Whatcom,"104 E Maple St, Bellingham WA",48.747482,-122.481825,WA,98225-5006
3069,Grumpy Old Men Brewing,Fannin,"1315 E Main St, Blue Ridge GA",34.858351,-84.330218,GA,30513-8506
3070,Grumpy's,Pulaski,"1801 Green Mountain Dr, Little Rock AR",34.769904,-92.403666,AR,72212-4079
3071,Grumpy's - Wickliffe/willowick/willoughby - Wickliffe,Lake,"29137 Euclid Ave, Wickliffe OH",41.604125,-81.476707,OH,44092-2467
3072,Grumpy's Tavern,Cowlitz,"3225 Ocean Beach Hwy, Longview WA",46.148312,-122.96817,WA,98632-4232
3073,Guadalupe Brewing Company,Comal,"1580 Wald Rd, New Braunfels TX",29.685184,-98.163456,TX,78132-5018
3074,Guardian Security Industries,Penobscot,"12 Birchwood Blvd, Brewer ME",44.777374,-68.766408,ME,04412-1604
3075,Guinness,New York County,"167, Manhattan NY",40.753259,-74.003804,NY,
3076,Gulf Coast Brewing,Harris,"7648 Canal St, Houston TX",29.735391,-95.286667,TX,77012-1144
3077,Gulf Distributing Co,Mobile,"3378 Moffett Rd, Mobile AL",30.705697,-88.120299,AL,36607-1708
3078,Gull Dam Brewing,Crow Wing,"23836 Smiley Rd, Nisswa MN",46.497509,-94.297804,MN,56468-2431
3079,Gun Hill Brewing Co,Bronx,"3227 Laconia Ave, Bronx NY",40.872139,-73.855566,NY,10469-1403
3080,Gus's Liquor Store,Pima,"4302 E Grant Rd, Tucson AZ",32.25061,-110.900913,AZ,85712-2607
3081,H 2 Oregon,Wasco,"3575 Crates Way, Thedalles OR",45.625028,-121.199988,OR,97058-3556
3082,H J Wiemer Vineyard,Yates,"3962 Rt 14, Dundee NY",42.577181,-76.930309,NY,14837
3083,H&r Block,Maricopa,"3511 W Peoria Ave, Phoenix AZ",33.581882,-112.135281,AZ,85029-4037
3084,Hacks Pub,Polk,"49 Main St W, Milltown WI",45.526291,-92.505514,WI,54858-4412
3085,Hagan Bar Grill,Marion,"1121 E Troy Ave, Indianapolis IN",39.722847,-86.139063,IN,46203-5238
3086,"Hailey's Harp and Pub, Hailey's Harp Pub",Middlesex,"400 Main St, Metuchen NJ",40.54124,-74.36122,NJ,08840-1807
3087,Hair of The Dog Brewery,Multnomah,"61 S E Yamhill St, Portland OR",45.515811,-122.665518,OR,97214-2134
3088,Hair of The Frog Brewery,Kent,"3113 Plaza Dr N E, Grand Rapids MI",43.018101,-85.630622,MI,49525-2901
3089,Hale's Ales Brewery & Pub,King,"4301 Leary Way N W, Seattle WA",47.659406,-122.365178,WA,98107-4538
3090,Half Acre Brewery,Cook,"4257 N Lincoln Ave, Chicago IL",41.959297,-87.682334,IL,60618-2953
3091,Half Acre Brewing Co,Cook,"2041 W Carroll Avenue 401, Chicago IL",41.887683,-87.67788,IL,60612-1601
3092,Half Day Brewing,Lake,"200 Village Grn, Lincolnshire IL",42.203005,-87.931153,IL,60069-3028
3093,Half Door Brewing Company,San Diego,"903 Island Ave, San Diego CA",32.71043,-117.156262,CA,92101-7227
3094,Half Full Brewery,Fairfield,"43 Homestead Ave, Stamford CT",41.039287,-73.549918,CT,06902-7204
3095,Half Moon Bay Brewing Company,San Mateo,"390 Capistrano Rd, Half Moon Bay CA",37.503808,-122.485613,CA,94019-4061
3096,Half Time,Bexar,"7126 Tezel Rd, San Antonio TX",29.501468,-98.662288,TX,78250-3591
3097,Half Way House Tavern,Albany,"26 Main St, Ravena NY",42.472957,-73.802641,NY,12143-1907
3098,Hall Brewing Co Tap Room,Douglas,"10970 E Main St, Parker CO",39.521788,-104.683547,CO,80138-7813
3099,Hall Wines,Napa,"401 Saint Helena Hwy S, Sainthelena CA",38.49027,-122.451637,CA,94574-2200
3100,Hallcrest Vineyards,Santa Cruz,"379 Felton Empire Rd, Felton CA",37.052187,-122.076662,CA,95018-9167
3101,Hallenbrick Brewery,Bernalillo,"3817 Hawkins St N E, Albuquerque NM",35.162765,-106.599873,NM,87109-4538
3102,Halyard Brewing Co Llc,,"80 Ethan Allen Doctor 2, Southburlington VT",44.48292,-73.20558,VT,05401
3103,Hamburg Brewing Company,Erie,"6553 Boston State Rd, Hamburg NY",42.71006,-78.802726,NY,14075-6630
3104,Hamburger Mary's / Andersonville Brewing,Cook,"5402 N Clark St, Chicago IL",41.979873,-87.6683,IL,60640-1210
3105,Hamilton Family Brewery,San Bernardino,"9795 Seventh St, Rancho Cucamonga CA",34.08835,-117.592294,CA,91730-5246
3106,Hamlin Pub North,Oakland,"741 S Lapeer Rd, Orion MI",42.77172,-83.238731,MI,48362-2923
3107,Hammer Time Pub & Billards,Tarrant,"804 N Collins St, Arlington TX",32.746243,-97.097347,TX,76011-6022
3108,Hammerheart Brewing,Anoka,"7785 Lake Dr, Lino Lakes MN",45.188989,-93.106344,MN,55014-1109
3109,Hammersmith Home Brew Supplies,Albany,"883 New Loudon Rd, Latham NY",42.756265,-73.75812,NY,12110-2106
3110,Hancock Town Tavern,Washington,"15 W Main St, Hancock MD",39.698925,-78.178853,MD,21750-1414
3111,Handle Bar The,Howard,"1252 N Main St, Kokomo IN",40.49802,-86.131261,IN,46901-2849
3112,Handlebar & Grill,Greene,"8310 E Andrew Johnson Hwy, Chuckey TN",36.221463,-82.700866,TN,37641-5210
3113,Handlebar I,Cuyahoga,"24951 Aurora Rd, Bedford OH",41.411316,-81.502781,OH,44146-1971
3114,Handley Cellars Winery,Mendocino,"3151 Hwy 128, Philo CA",39.119035,-123.515841,CA,95466-9468
3115,Hangar 24 Craft Brewery,San Bernardino,"1710 Sessums Dr, Redlands CA",34.083268,-117.140236,CA,92374-1909
3116,Hanger 41 Brew Club Inc,Lee,"1539 Poinciana Ave, Fortmyers FL",26.627089,-81.881433,FL,33901-5928
3117,Hank Is Wiser Brewery,Sedgwick,"213 N Main St, Cheney KS",37.628432,-97.78122,KS,67025-9730
3118,Hanks Cafe Honolulu,Honolulu,"1038 Nuuanu Ave, Honolulu HI",21.310857,-157.862354,HI,96817-5117
3119,Hank's Tavern,Milwaukee,"5216 S 13th St, Milwaukee WI",42.949761,-87.929348,WI,53221-3604
3120,Hannaford Pharmacy,Penobscot,"383 Wilson St, Brewer ME",44.784418,-68.75225,ME,04412-1521
3121,Hansa Brewery,Cuyahoga,"2717 Lorain Ave, Cleveland OH",41.483402,-81.705103,OH,44113-3414
3122,Happy Dayz,Pasco,"12401 Us Highway 301, Dade City FL",28.33789,-82.187595,FL,33525-6018
3123,Happy Hour Saloon,Lucas,"1519 Eleanor Ave, Toledo OH",41.699626,-83.57971,OH,43612-2209
3124,Happy Husky Brewing Company,Milwaukee,"3954 S 56th St, Milwaukee WI",42.972598,-87.984347,WI,53220-2633
3125,Happy Leaf Kombucha,Denver,"3519 Brighton Blvd, Denver CO",39.770784,-104.978269,CO,80216-3605
3126,Happy Tap,Outagamie,"1326 N Meade St, Appleton WI",44.273634,-88.395518,WI,54911-3758
3127,Happy Valley Brewing Company,Centre,"137 Elmwood St, State College PA",40.810362,-77.829299,PA,16801-6851
3128,Harbinger Winery,Clallam,"2358 W Highway 101, Port Angeles WA",48.103069,-123.500555,WA,98363-9420
3129,Harbor Distributing Inc,Los Angeles,"16407 S Main St, Carson CA",33.882364,-118.27588,CA,90248-2823
3130,Harbor East Brewery Llc,Baltimore City,"1000 Lancaster St, Baltimore MD",39.282433,-76.599382,MD,21202-4373
3131,Harbor Pub,Honolulu,"1765 Ala Moana Blvd, Honolulu HI",21.285795,-157.839104,HI,96815-1400
3132,Harbortouch,Penobscot,"17 Doughty Drive Box 15, Brewer ME",44.787747,-68.765142,ME,04412
3133,Hard Times Ii Bar & Grill,Adams,"305 S Ohio St, Camp Point IL",40.039507,-91.064534,IL,62320-1443
3134,Harding Florist Inc,Penobscot,"32 Willow Way, Brewer ME",44.79575,-68.745484,ME,04412-1339
3135,Hardwick Sugar Shack,Worcester,"572 Jackson Rd, Hardwick MA",42.377982,-72.189581,MA,01037
3136,Hardywood Park Craft Brewery,Richmond City,"2408 Ownby Ln, Richmond VA",37.564648,-77.456911,VA,23220-1319
3137,Harem The,Orleans,"125 Chartres St, New Orleans LA",29.953202,-90.067645,LA,70130-2311
3138,Harland Williamson Engineer,Penobscot,"374 Day Rd, Brewer ME",44.798449,-68.703369,ME,04412-5412
3139,Harmon Brewery & Eatery,Pierce,"1938 Pacific Ave, Tacoma WA",47.243673,-122.436461,WA,98402-3102
3140,Harmon Brewery & Tap Room,Pierce,"204 Saint Helens Ave, Tacoma WA",47.262045,-122.445639,WA,98402-2522
3141,Harmon Brewing Co Inc,New York,"670 Broadway, New York NY",40.727384,-73.995141,NY,10012-2305
3142,Harmonic Brewing,San Francisco,"1050 26th St, San Francisco CA",37.751427,-122.39006,CA,94107-3513
3143,"Harper's Restaurant Brew Pub, Harper's Restaurant & Pub",Ingham,"131 Albert Ave, E Lansing MI",42.735975,-84.482825,MI,48823-4315
3144,Harpoon Beer Hall,Suffolk County,"306 Northern Ave, Boston MA",42.3469,-71.0348,MA,02210
3145,Harpoon Brewery & Riverbend Taps,Windsor,"336 Ruth Carney Dr, Windsor VT",43.51326,-72.403078,VT,05089-9419
3146,Harpoon Tap Room,,"Bos Airport, Boston MA",42.37017,-71.03031,MA,02128
3147,Harps Lounge,Sacramento,"4729 San Juan Ave, Fairoaks CA",38.649925,-121.292042,CA,95628-5521
3148,Harriet Brewing,Hennepin,"3036 Minnehaha Ave, Minneapolis MN",44.94728,-93.233428,MN,55406-1932
3149,Harris Hill Inn,Erie,"8595 Main St, Williamsville NY",42.96523,-78.672852,NY,14221-7454
3150,Harrison Elks,Hudson,"431 433 Harrison Ave, Harrison NJ",40.746634,-74.155556,NJ,07029-1750
3151,Harry Davids Bar,Missoula,"2700 Paxson St, Missoula MT",46.843205,-114.029004,MT,59801-7200
3152,Harry's Night Club & Beach Bar,San Luis Obispo,"690 Cypress St, Pismo Beach CA",35.139899,-120.642162,CA,93449-2611
3153,Harry's Tap Room,Arlington,"1100 S Hayes St, Arlington VA",38.863512,-77.059442,VA,22202-4903
3154,Harvest Moon Brewing Co,Cascade,"7 5th St, Belt MT",47.38501,-110.929941,MT,59412
3155,Hatfield and Mccoy Distillery,Mingo County,"297 Jones Ave, Gilbert WV",37.615075,-81.866341,WV,
3156,Hatts Two,Montgomery,"141 N Main St, Telford PA",40.325991,-75.329761,PA,18969-1703
3157,Haubrich Enterprises Inc,Adams,"1901 Seminary Rd, Quincy IL",39.954182,-91.385865,IL,62301-1484
3158,Haven Gastropub + Brewery @havengastropub,Los Angeles County,"42 S De Lacey Ave (colorado Blvd), Pasadena CA",34.14955,-118.141452,CA,
3159,Haw River Farmhouse Ales,Alamance County,"1713 Saxapahaw Bethlehem Church Rd, Saxapahaw NC",35.947236,-79.321605,NC,
3160,Hawkeye Tap,Scott,"4646 Cheyenne Ave, Davenport IA",41.56821,-90.609733,IA,52806-4813
3161,Hawkins Real Estate Inc,Penobscot,"342 Eastern Ave, Brewer ME",44.790652,-68.729813,ME,04412-9632
3162,Hay Camp Brewing Company,Pennington,"201 Main St, Rapid City SD",44.079963,-103.220005,SD,57701-2835
3163,Hayes Unfinished Furniture,Penobscot,"39 Sparks Avenue 4, Brewer ME",44.776187,-68.73856,ME,04412-1446
3164,Hayloft Bar,Clark,"522 W Mill St, Withee WI",44.951439,-90.598274,WI,54498-9789
3165,Haymaker Meadery,Montgomery,"435 Doylestown Rd, Montgomeryville PA",40.252629,-75.238754,PA,19446
3166,Haymarket Cafe,Cook,"123 N Halsted St, Chicago IL",41.884061,-87.647378,IL,60661-2116
3167,Haymarket Pub & Brewery,Cook,"737 W Randolph St, Chicago IL",41.884336,-87.646911,IL,60661-2103
3168,Head Waters,Lake,"6082 Andrews Rd, Mentor On The Lake OH",41.70599,-81.361293,OH,44060-2855
3169,Headknocker Brewery,Snohomish,"29021 State Route 2, Monroe WA",47.854548,-121.84383,WA,98272-8906
3170,Heady Hollow Brewing Company,Hamilton,"11069 Allisonville Rd, Fishers IN",39.950734,-86.042144,IN,46038-2698
3171,Healthy Brew,Tarrant,"6435 Nine Mile Bridge Rd, Fort Worth TX",32.837977,-97.495443,TX,76135-9259
3172,Heart of Illinois Hydro & Homebrew Supply,Peoria,"7800 N Sommer St, Peoria IL",40.782024,-89.613302,IL,61615-1934
3173,Heartland Brewery,New York,"127 W 43rd St, New York NY",40.756112,-73.985005,NY,10036-6514
3174,Heartland Brewery Group,New York,"1430 Broadway, New York NY",40.754007,-73.98697,NY,10018-3030
3175,Heartshomebrew.com Inc,Orange,"6190 Edgewater Dr, Orlando FL",28.613028,-81.418865,FL,32810-4810
3176,Heater Allen Brewing,Yamhill,"907 N E 10th Ave, Mcminnville OR",45.214405,-123.188683,OR,97128-4003
3177,Heathen Brewing,Clark,"5612 N E 119th St, Vancouver WA",45.707693,-122.613602,WA,98686-3475
3178,Heavenly Daze Brewery (closed),Denver,"208 S Kalamath St, Denver CO",39.712589,-104.999102,CO,80223-1813
3179,Heavy Seas Brewing Company,Baltimore,"4615 Hollins Ferry Rd, Baltimore MD",39.231986,-76.676593,MD,21227-4601
3180,Hec's Bar Inc,Ashland,"713 2nd Ave E, Ashland WI",46.587688,-90.877983,WI,54806-3204
3181,Heidi Alzerreca Cosmetologist,Penobscot,"52 Robinhood Dr, Brewer ME",44.773221,-68.766684,ME,04412-1717
3182,Heimhof Winery and Gift Shop,Leavenworth,"25168 Tonganoxie Rd, Fort Leavenworth KS",39.229906,-94.984508,KS,66048-7313
3183,Heineken Usa,Dupage,"1901 Butterfield Rd, Downers Grove IL",41.832382,-88.034921,IL,60515-1265
3184,"Heineken Usa, Inc.",Westchester,"360 Hamilton Ave, White Plains NY",41.034548,-73.766495,NY,10601-1800
3185,Heinrichshaus Winery,Phelps,"18500 State Route U, Saintjames MO",38.157502,-91.674134,MO,65559-9021
3186,Heist Brewery,Mecklenburg,"2909 N Davidson St, Charlotte NC",35.245033,-80.809155,NC,28205-1048
3187,"Helio Basin Brewing Co, Helio Basin Brewing Co.",Maricopa,"3935 E Thomas Rd, Phoenix AZ",33.480423,-111.996235,AZ,85018-7511
3188,Helix Brewing Co.,San Diego,"8101 Commercial St, La Mesa CA",32.771673,-117.023432,CA,91942-2927
3189,Hellbender Brewing Company,District Of Columbia,"5788 2nd St N E, Washington DC",38.960257,-77.004727,DC,20011-2524
3190,Hellbent Brewing Co.,King,"130335 Lake City Way N E, Seattle WA",47.739158,-122.290037,WA,98155-7603
3191,Heller and Heller Liquors,Essex,"39 4th Ave, E Orange NJ",40.764161,-74.194514,NJ,07017-5301
3192,Helles & Dunkel,Mecklenburg,"222 E Bland St, Charlotte NC",35.216202,-80.853459,NC,28203-5063
3193,"Helltown Brewery, Llc",Westmoreland,"13 Henry C Frick St, Mount Pleasant PA",40.150464,-79.53233,PA,15666-1343
3194,Helm's Brewing Co. Ocean Beach Tasting Room,San Diego,"4896 Newport Ave, San Diego CA",32.745675,-117.24914,CA,92107-3111
3195,Helm's Deep,Middlesex,"Ravenswood Rd, Waltham MA",42.375539,-71.261227,MA,02453
3196,Helton Brewing Company,Maricopa,"2144 E Indian School Rd, Phoenix AZ",33.494791,-112.034796,AZ,85016-6130
3197,Helvetia Winery,Washington,"22485 N W Yungen Rd, Hillsboro OR",45.614573,-122.908856,OR,97124-8146
3198,Hemannhof Winery,Gasconade,"237 E 1st St, Hermann MO",38.70676,-91.433086,MO,65041-1113
3199,Hemisphere Brewing Co Llc,Rockwall,"2015 Kristy Ln, Rockwall TX",32.912469,-96.440851,TX,75032-6242
3200,Henderson Hall Vineyard,Arlington,"1555 Southgate Rd, Arlington VA",38.868582,-77.074071,VA,22214-5001
3201,Hendrick Brewpub and Grill,Bexar,"202 Clear Oak, Universal City TX",29.538265,-98.314785,TX,78148-3715
3202,Henhouse Brewing Company,Sonoma,"322 Bellevue Ave, Santa Rosa CA",38.401801,-122.725591,CA,95407-7711
3203,Henke Winery,Hamilton,"3077 Harrison Ave, Cincinnati OH",39.150207,-84.599735,OH,45211-5751
3204,Henniker Brewing Co,Merrimack,"129 Centervale Rd, Henniker NH",43.178356,-71.782055,NH,03242-3280
3205,Hensley & Co,Yavapai,"10201 E Valley Rd, Prescott Valley AZ",34.583962,-112.288039,AZ,86314-2332
3206,Hensley Beer,Maricopa,"2927 S Hardy Dr, Tempe AZ",33.397881,-111.952128,AZ,85282-3319
3207,Herbert Sheet Metal,Onondaga,"5251 Guy Young Rd, Brewerton NY",43.235576,-76.156344,NY,13029-9767
3208,Herb's Cafe,Allegheny,"2511 Grandview Ave, Mckeesport PA",40.335429,-79.83498,PA,15132-7829
3209,Hereford & Hops,Delta,"624 Ludington St, Escanaba MI",45.745728,-87.056312,MI,49829-3825
3210,Heretic Brewing Company,Solano,"1052 Horizon Dr, Fairfield CA",38.273478,-122.014802,CA,94533-1694
3211,Heritage Brewing Co,Manassas City,"9436 Center Point Ln, Manassas VA",38.751193,-77.488419,VA,20110-1810
3212,Heritage Wine Cellars,Erie,"12162 E Main Rd, N E PA",42.231207,-79.786023,PA,16428-3644
3213,Hermit Thrush Brewery,Windham,"29 High Saint 101c, Brattleboro VT",42.853339,-72.559638,VT,05301-3002
3214,Hermitage Brewery,Santa Clara,"1627 S 7th St, San Jose CA",37.314221,-121.865595,CA,95112-5932
3215,Hermitage Hill Farm and Stables,Waynesboro City,"375 Madrid Rd, Waynesboro VA",38.160896,-78.905366,VA,22980-6230
3216,Heroes Restaurant & Brewery,Riverside,"3397 Mission Inn Ave, Riverside CA",33.981147,-117.36994,CA,92501-3302
3217,Heron Hill Winery,Steuben County,"9301 County Road 76, Hammondsport NY",42.407969,-77.223794,NY,
3218,Hero's Sports Lounge Pizza,Stanislaus,"821 L St, Modesto CA",37.641451,-121.003879,CA,95354-0837
3219,Hess Collection Winery,Napa,"4411 Redwood Rd, Napa CA",38.335581,-122.383308,CA,94558-9708
3220,Hess's Tavern,Allegheny,"105 Whitaker St, Homestead PA",40.401432,-79.8881,PA,15120-2411
3221,Hewes Custom Fiberglass Inc,Penobscot,"42 Silk St, Brewer ME",44.79644,-68.755141,ME,04412-1818
3222,Hickory Creek Winery,Berrien,"750 Browntown Rd, Buchanan MI",41.902793,-86.469451,MI,49107-8336
3223,Hickory Hops,Catawba,"2nd St N W, Hickory NC",35.758141,-81.339594,NC,28601
3224,Hickory Ridge Vineyard,Jackson,"1598 Hickory Rdg Rd, Pomona IL",37.634672,-89.365609,IL,62975
3225,Hidden Acres,Spokane,"16802 N Applewood Ln, Mead WA",47.807557,-117.266811,WA,99021-9100
3226,Hidden Lake Winery,Clinton,"10580 Wellen Rd, Aviston IL",38.571417,-89.630537,IL,62216-1019
3227,Hidden River Brewing Company,Berks,"1808 W Schuylkill Rd, Douglassville PA",40.248094,-75.720802,PA,19518-9101
3228,Hidden Springs Ale Works,Hillsborough,"1631 N Franklin St, Tampa FL",27.959314,-82.460189,FL,33602-2621
3229,Hide A Way,Walworth,"202 Williams Rd, Genoa City WI",42.498843,-88.314576,WI,53128-2090
3230,Hide-away Bar,Oneida,"290 Wesley Rd, Threelakes WI",45.881209,-89.057658,WI,54562-9326
3231,Hideaway Bar Grill,Lake,"35575 Lake Shore Blvd, Eastlake OH",41.663462,-81.432741,OH,44095-1963
3232,Hideaway Park Brewery,Grand,"78927 Us Hwy 40, Winter Park CO",39.917908,-105.784331,CO,80482
3233,Hidy's Cafe,Allegheny,"115 W Braddock Ave, Rankin PA",40.408056,-79.877124,PA,15104-1115
3234,Hi-fi Brewing,King,"14950 N E 95th St, Redmond WA",47.685927,-122.143638,WA,98052-2500
3235,Hifi Homebrew & Bbq Supply,Pinellas,"1650 N Hercules Ave, Clearwater FL",27.981494,-82.754601,FL,33765-1929
3236,High Beck Corner Tavern,Franklin,"564 S High St, Columbus OH",39.950483,-82.998375,OH,43215-5621
3237,High Branch Brewing Co,Cabarrus,"325 Mcgill Ave, Concord NC",35.416117,-80.60358,NC,28027-0011
3238,High Cotton Brewing,Shelby,"598 Monroe Ave, Memphis TN",35.14094,-90.040954,TN,38103-3214
3239,High Five Pedal Tours,Washtenaw,"221 Felch St, Ann Arbor MI",42.286372,-83.749987,MI,48103-2529
